"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","view_history","phase","stage","shape","subj_idx","TaskRelevance","CognitiveLoad","isMatch","Identity","display_label","nBack_shape","nBack_color","nBack_label","sequence","condition_type","correct_response","correct"
"","","","","","html-keyboard-response","5579","5034825","0.0-4.0-3.0-0.1-561.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5580","5035038","0.0-4.0-3.0-0.1-562.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5581","5035552","0.0-4.0-3.0-0.1-563.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5582","5036564","0.0-4.0-3.0-0.1-564.1","null","../img/green_circle.png","null","","main","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5583","5037578","0.0-4.0-3.0-0.1-565.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5584","5038606","0.0-4.0-3.0-0.1-566.1","null","../img/green_circle.png","null","","main","shape","../img/green_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5585","5040629","0.0-4.0-3.0-0.1-567.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","自我","自我","../img/red_circle.png","red","","../img/green_triangle.png,../img/green_circle.png,../img/red_circle.png,../img/green_circle.png","{""label_type"":""自我"",""is_match"":true,""count"":24,""colorPool"":[""green"",""red"",""red"",""green"",""red"",""red"",""red"",""red"",""green"",""red"",""green"",""green"",""red"",""red"",""red"",""green"",""green"",""red"",""red"",""green"",""green"",""green"",""green"",""green""]}","f","false"
"","","","","","html-keyboard-response","5586","5040942","0.0-4.0-3.0-0.1-568.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5587","5041733","0.0-4.0-3.0-0.1-569.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5588","5042249","0.0-4.0-3.0-0.1-570.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5589","5043272","0.0-4.0-3.0-0.1-571.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5590","5044301","0.0-4.0-3.0-0.1-572.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5591","5046326","0.0-4.0-3.0-0.1-573.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","生人","生人","../img/green_triangle.png","green","","../img/green_triangle.png,../img/green_triangle.png,../img/red_triangle.png","{""label_type"":""生人"",""is_match"":true,""count"":24,""colorPool"":[""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""red"",""green"",""red""]}","f","false"
"","","","","","html-keyboard-response","5592","5046636","0.0-4.0-3.0-0.1-574.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","feedback","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5593","5047388","0.0-4.0-3.0-0.1-575.1","null","<div style=""font-size: 60px;"">+</div>","null","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5594","5047901","0.0-4.0-3.0-0.1-576.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5595","5048906","0.0-4.0-3.0-0.1-577.1","null","../img/red_triangle.png","null","","main","shape","../img/red_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5596","5049921","0.0-4.0-3.0-0.1-578.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5597","5050950","0.0-4.0-3.0-0.1-579.1","null","../img/green_triangle.png","null","","main","shape","../img/green_triangle.png","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","5598","5051979","0.0-4.0-3.0-0.1-580.1","null","../img/red_circle.png","null","","main","shape","../img/red_circle.png","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5599","5053981","0.0-4.0-3.0-0.1-581.1","null","","null","","main","response","","100","TaskIRRelevant","2","true","生人","生人","../img/green_triangle.png","green","","../img/red_triangle.png,../img/red_triangle.png,../img/green_triangle.png,../img/green_triangle.png,../img/red_circle.png","{""label_type"":""生人"",""is_match"":true,""count"":24,""colorPool"":[""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""green"",""red"",""red"",""red"",""green"",""red"",""green"",""red"",""green"",""green"",""green"",""red"",""green"",""red""]}","f","false"
