"","subj_idx","gender","year","rt","correct_response","correct","key_press","word","shape","condition"
"130",1,1,"2001",702,"arrowright","true","arrowright","朋友","朋友","matching_task"
"131",1,1,"2001",893,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"132",1,1,"2001",805,"arrowright","true","arrowright","朋友","朋友","matching_task"
"133",1,1,"2001",638,"arrowright","true","arrowright","自我","自我","matching_task"
"134",1,1,"2001",715,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"135",1,1,"2001",730,"arrowleft","false","arrowright","自我","朋友","matching_task"
"136",1,1,"2001",782,"arrowright","true","arrowright","生人","生人","matching_task"
"137",1,1,"2001",652,"arrowright","false","arrowleft","生人","生人","matching_task"
"138",1,1,"2001",719,"arrowleft","false","arrowright","朋友","自我","matching_task"
"139",1,1,"2001",752,"arrowright","true","arrowright","朋友","朋友","matching_task"
"140",1,1,"2001",728,"arrowleft","true","arrowleft","自我","生人","matching_task"
"141",1,1,"2001",1196,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"142",1,1,"2001",684,"arrowright","true","arrowright","自我","自我","matching_task"
"143",1,1,"2001",575,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"144",1,1,"2001",731,"arrowleft","true","arrowleft","生人","自我","matching_task"
"145",1,1,"2001",730,"arrowleft","true","arrowleft","生人","自我","matching_task"
"146",1,1,"2001",771,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"147",1,1,"2001",752,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"148",1,1,"2001",928,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"149",1,1,"2001",687,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"150",1,1,"2001",757,"arrowright","true","arrowright","生人","生人","matching_task"
"151",1,1,"2001",815,"arrowright","false","arrowleft","朋友","朋友","matching_task"
"152",1,1,"2001",679,"arrowleft","true","arrowleft","自我","生人","matching_task"
"153",1,1,"2001",728,"arrowright","true","arrowright","朋友","朋友","matching_task"
"154",1,1,"2001",654,"arrowright","true","arrowright","自我","自我","matching_task"
"155",1,1,"2001",677,"arrowright","true","arrowright","自我","自我","matching_task"
"156",1,1,"2001",1125,"arrowright","true","arrowright","生人","生人","matching_task"
"157",1,1,"2001",751,"arrowright","true","arrowright","生人","生人","matching_task"
"158",1,1,"2001",763,"arrowleft","true","arrowleft","生人","自我","matching_task"
"159",1,1,"2001",660,"arrowright","true","arrowright","朋友","朋友","matching_task"
